Id,Name,ProvinceId
1,JAKARTA PUSAT,1
2,JAKARTA BARAT,1
3,JAKARTA SELATAN,1
4,JAKARTA TIMUR,1
5,JAKARTA UTARA,1
6,KEPULAUAN SERIBU,1
7,TANGERANG,2
8,TANGERANG SELATAN,2
9,BOGOR,3
10,DEPOK,3
11,BEKASI,3
12,MEDAN,4
13,DELI SERDANG,4
14,TEBING TINGGI,4
15,BINJAI,4
16,LANGKAT,4
17,SERDANG BEDAGAI,4
18,PEMATANG SIANTAR,4
19,SIMALUNGUN,4
20,ASAHAN,4
21,BATU BARA,4
22,TANJUNG BALAI,4
23,LABUHAN BATU,4
24,LABUHAN BATU UTARA,4
25,LABUHAN BATU SELATAN,4
26,KARO,4
27,DAIRI,4
28,PAKPAK BHARAT,4
29,TOBA SAMOSIR,4
30,SAMOSIR,4
31,TAPANULI UTARA,4
32,HUMBANG HASUNDUTAN,4
33,SIBOLGA,4
34,TAPANULI TENGAH,4
35,PADANG SIDEMPUAN,4
36,TAPANULI SELATAN,4
37,PADANG LAWAS UTARA,4
38,PADANG LAWAS,4
39,GUNUNGSITOLI,4
40,NIAS BARAT,4
41,NIAS UTARA,4
42,NIAS,4
43,NIAS SELATAN,4
44,MANDAILING NATAL,4
45,BANDA ACEH,5
46,ACEH BESAR,5
47,SABANG,5
48,ACEH BARAT,5
49,ACEH JAYA,5
50,NAGAN RAYA,5
51,ACEH SELATAN,5
52,ACEH BARAT DAYA,5
53,SIMEULUE,5
54,PIDIE,5
55,PIDIE JAYA,5
56,BIREUEN,5
57,LHOKSEUMAWE,5
58,ACEH UTARA,5
59,LANGSA,5
60,ACEH TIMUR,5
61,ACEH TAMIANG,5
62,ACEH TENGAH,5
63,BENER MERIAH,5
64,ACEH TENGGARA,5
65,GAYO LUES,5
66,SUBULUSSALAM,5
67,ACEH SINGKIL,5
68,PADANG,6
69,KEPULAUAN MENTAWAI,6
70,PARIAMAN,6
71,PADANG PARIAMAN,6
72,PESISIR SELATAN,6
73,BUKITTINGGI,6
74,AGAM,6
75,PAYAKUMBUH,6
76,LIMA PULUH KOTO/KOTA,6
77,PASAMAN,6
78,PASAMAN BARAT,6
79,PADANG PANJANG,6
80,TANAH DATAR,6
81,SOLOK,6
82,SAWAH LUNTO,6
83,SIJUNJUNG (SAWAH LUNTO SIJUNJUNG),6
84,DHARMASRAYA,6
85,SOLOK SELATAN,6
86,PEKANBARU,7
87,PELALAWAN,7
88,KAMPAR,7
89,ROKAN HULU,7
90,SIAK,7
91,BENGKALIS,7
92,KEPULAUAN MERANTI,7
93,DUMAI,7
94,ROKAN HILIR,7
95,TANJUNG PINANG,8
96,BINTAN,8
97,INDRAGIRI HILIR,7
98,INDRAGIRI HULU,7
99,BATAM,8
100,KUANTAN SINGINGI,7
101,KARIMUN,8
102,NATUNA,8
103,KEPULAUAN ANAMBAS,8
104,LINGGA,8
105,PALEMBANG,9
106,OGAN KOMERING ILIR,9
107,OGAN ILIR,9
108,MUSI BANYUASIN,9
109,MUSI RAWAS,9
110,BANYUASIN,9
111,PRABUMULIH,9
112,MUARA ENIM,9
113,LAHAT,9
114,EMPAT LAWANG,9
115,PAGAR ALAM,9
116,LUBUK LINGGAU,9
117,OGAN KOMERING ULU,9
118,OGAN KOMERING ULU TIMUR,9
119,OGAN KOMERING ULU SELATAN,9
120,PANGKAL PINANG,10
121,BANGKA,10
122,BANGKA BARAT,10
123,BELITUNG,10
124,BELITUNG TIMUR,10
125,BANGKA TENGAH,10
126,BANGKA SELATAN,10
127,METRO,11
128,LAMPUNG TENGAH,11
129,LAMPUNG TIMUR,11
130,TULANG BAWANG BARAT,11
131,LAMPUNG UTARA,11
132,TULANG BAWANG,11
133,MESUJI,11
134,WAY KANAN,11
135,LAMPUNG BARAT,11
136,PESISIR BARAT,11
137,BANDAR LAMPUNG,11
138,LAMPUNG SELATAN,11
139,PESAWARAN,11
140,PRINGSEWU,11
141,TANGGAMUS,11
142,JAMBI,12
143,MUARO JAMBI,12
144,TANJUNG JABUNG BARAT,12
145,TANJUNG JABUNG TIMUR,12
146,BATANG HARI,12
147,SUNGAIPENUH,12
148,KERINCI,12
149,BUNGO,12
150,TEBO,12
151,MERANGIN,12
152,SAROLANGUN,12
153,BENGKULU,13
154,BENGKULU UTARA,13
155,BENGKULU TENGAH,13
156,BENGKULU SELATAN,13
157,MUKO MUKO,13
158,SELUMA,13
159,KAUR,13
160,REJANG LEBONG,13
161,LEBONG,13
162,KEPAHIANG,13
163,BANDUNG,3
164,BANDUNG BARAT,3
165,CIMAHI,3
166,PURWAKARTA,3
167,SUBANG,3
168,KARAWANG,3
169,SERANG,2
170,PANDEGLANG,2
171,LEBAK,2
172,CILEGON,2
173,SUKABUMI,3
174,CIANJUR,3
175,GARUT,3
176,CIREBON,3
177,INDRAMAYU,3
178,SUMEDANG,3
179,MAJALENGKA,3
180,KUNINGAN,3
181,TASIKMALAYA,3
182,CIAMIS,3
183,PANGANDARAN,3
184,BANJAR,3
185,SEMARANG,14
186,SALATIGA,14
187,PEKALONGAN,14
188,BATANG,14
189,KENDAL,14
190,TEGAL,14
191,BREBES,14
192,PEMALANG,14
193,BANYUMAS,14
194,CILACAP,14
195,PURBALINGGA,14
196,BANJARNEGARA,14
197,PURWOREJO,14
198,KEBUMEN,14
199,YOGYAKARTA,15
200,BANTUL,15
201,SLEMAN,15
202,KULON PROGO,15
203,GUNUNG KIDUL,15
204,MAGELANG,14
205,TEMANGGUNG,14
206,WONOSOBO,14
207,SURAKARTA (SOLO),14
208,SUKOHARJO,14
209,KARANGANYAR,14
210,SRAGEN,14
211,BOYOLALI,14
212,KLATEN,14
213,WONOGIRI,14
214,GROBOGAN,14
215,BLORA,14
216,PATI,14
217,REMBANG,14
218,KUDUS,14
219,JEPARA,14
220,DEMAK,14
221,SURABAYA,16
222,GRESIK,16
223,SIDOARJO,16
224,MOJOKERTO,16
225,JOMBANG,16
226,BOJONEGORO,16
227,LAMONGAN,16
228,TUBAN,16
229,MADIUN,16
230,MAGETAN,16
231,NGAWI,16
232,PONOROGO,16
233,PACITAN,16
234,KEDIRI,16
235,NGANJUK,16
236,MALANG,16
237,BATU,16
238,BLITAR,16
239,TULUNGAGUNG,16
240,TRENGGALEK,16
241,PASURUAN,16
242,PROBOLINGGO,16
243,LUMAJANG,16
244,JEMBER,16
245,BONDOWOSO,16
246,SITUBONDO,16
247,BANYUWANGI,16
248,BANGKALAN,16
249,SAMPANG,16
250,PAMEKASAN,16
251,SUMENEP,16
252,BANJARMASIN,17
253,BARITO KUALA,17
254,BANJAR,17
255,BANJARBARU,17
256,TANAH LAUT,17
257,TAPIN,17
258,HULU SUNGAI SELATAN,17
259,HULU SUNGAI TENGAH,17
260,HULU SUNGAI UTARA,17
261,TABALONG,17
262,BALANGAN,17
263,KOTABARU,17
264,TANAH BUMBU,17
265,PALANGKA RAYA,18
266,KAPUAS,18
267,BARITO TIMUR,18
268,BARITO SELATAN,18
269,BARITO UTARA,18
270,MURUNG RAYA,18
271,KOTAWARINGIN BARAT,18
272,LAMANDAU,18
273,SUKAMARA,18
274,SERUYAN,18
275,KOTAWARINGIN TIMUR,18
276,KATINGAN,18
277,GUNUNG MAS,18
278,PULANG PISAU,18
279,SAMARINDA,19
280,KUTAI KARTANEGARA,19
281,BONTANG,19
282,KUTAI TIMUR,19
283,KUTAI BARAT,19
284,BALIKPAPAN,19
285,PENAJAM PASER UTARA,19
286,PASER,19
287,TARAKAN,20
288,TANA TIDUNG,20
289,MALINAU,20
290,BULUNGAN (BULONGAN),20
291,BERAU,19
292,NUNUKAN,20
293,PONTIANAK,21
294,KUBU RAYA,21
295,SANGGAU,21
296,SINTANG,21
297,KAPUAS HULU,21
298,KETAPANG,21
299,KAYONG UTARA,21
300,SINGKAWANG,21
301,SAMBAS,21
302,BENGKAYANG,21
303,LANDAK,21
304,SEKADAU,21
305,MELAWI,21
306,DENPASAR,22
307,BADUNG,22
308,GIANYAR,22
309,BANGLI,22
310,KLUNGKUNG,22
311,KARANGASEM,22
312,BULELENG,22
313,TABANAN,22
314,JEMBRANA,22
315,MATARAM,23
316,LOMBOK BARAT,23
317,LOMBOK UTARA,23
318,LOMBOK TENGAH,23
319,LOMBOK TIMUR,23
320,BIMA,23
321,DOMPU,23
322,SUMBAWA,23
323,SUMBAWA BARAT,23
324,KUPANG,24
325,SABU RAIJUA,24
326,TIMOR TENGAH SELATAN,24
327,TIMOR TENGAH UTARA,24
328,BELU,24
329,ALOR,24
330,ROTE NDAO,24
331,SIKKA,24
332,ENDE,24
333,FLORES TIMUR,24
334,NGADA,24
335,NAGEKEO,24
336,MANGGARAI,24
337,MANGGARAI TIMUR,24
338,LEMBATA,24
339,MANGGARAI BARAT,24
340,SUMBA TIMUR,24
341,SUMBA BARAT,24
342,SUMBA BARAT DAYA,24
343,SUMBA TENGAH,24
344,MAKASSAR,25
345,GOWA,25
346,BONE,25
347,MAROS,25
348,PANGKAJENE KEPULAUAN,25
349,BARRU,25
350,SOPPENG,25
351,WAJO,25
352,PAREPARE,25
353,PINRANG,25
354,POLEWALI MANDAR,26
355,MAMUJU,26
356,MAMASA,26
357,MAJENE,26
358,MAMUJU UTARA,26
359,SIDENRENG RAPPANG/RAPANG,25
360,SINJAI,25
361,ENREKANG,25
362,TANA TORAJA,25
363,TORAJA UTARA,25
364,LUWU UTARA,25
365,PALOPO,25
366,LUWU,25
367,LUWU TIMUR,25
368,TAKALAR,25
369,JENEPONTO,25
370,BANTAENG,25
371,BULUKUMBA,25
372,SELAYAR (KEPULAUAN SELAYAR),25
373,KENDARI,27
374,KONAWE,27
375,KONAWE UTARA,27
376,KONAWE SELATAN,27
377,KOLAKA,27
378,MUNA,27
379,BUTON UTARA,27
380,BAU-BAU,27
381,BUTON,27
382,BOMBANA,27
383,WAKATOBI,27
384,KOLAKA UTARA,27
385,PALU,28
386,SIGI,28
387,DONGGALA,28
388,PARIGI MOUTONG,28
389,TOLI-TOLI,28
390,BUOL,28
391,POSO,28
392,TOJO UNA-UNA,28
393,BANGGAI,28
394,BANGGAI KEPULAUAN,28
395,MOROWALI,28
396,MANADO,29
397,MINAHASA SELATAN,29
398,MINAHASA UTARA,29
399,MINAHASA,29
400,TOMOHON,29
401,BITUNG,29
402,KOTAMOBAGU,29
403,BOLAANG MONGONDOW (BOLMONG),29
404,BOLAANG MONGONDOW UTARA,29
405,BOLAANG MONGONDOW SELATAN,29
406,BOLAANG MONGONDOW TIMUR,29
407,KEPULAUAN SANGIHE,29
408,KEPULAUAN SIAU TAGULANDANG BIARO (SITARO),29
409,KEPULAUAN TALAUD,29
410,MINAHASA TENGGARA,29
411,GORONTALO,30
412,GORONTALO UTARA,30
413,BOALEMO,30
414,POHUWATO,30
415,BONE BOLANGO,30
416,AMBON,31
417,MALUKU BARAT DAYA,31
418,MALUKU TENGGARA BARAT,31
419,MALUKU TENGAH,31
420,BURU SELATAN,31
421,SERAM BAGIAN TIMUR,31
422,SERAM BAGIAN BARAT,31
423,BURU,31
424,MALUKU TENGGARA,31
425,TUAL,31
426,KEPULAUAN ARU,31
427,TERNATE,32
428,HALMAHERA BARAT,32
429,HALMAHERA UTARA,32
430,HALMAHERA SELATAN,32
431,PULAU MOROTAI,32
432,KEPULAUAN SULA,32
433,TIDORE KEPULAUAN,32
434,HALMAHERA TENGAH,32
435,HALMAHERA TIMUR,32
436,BIAK NUMFOR,33
437,SUPIORI,33
438,KEPULAUAN YAPEN (YAPEN WAROPEN),33
439,WAROPEN,33
440,MAMBERAMO RAYA,33
441,MANOKWARI,34
442,PEGUNUNGAN ARFAK,34
443,MANOKWARI SELATAN,34
444,TELUK WONDAMA,34
445,TELUK BINTUNI,34
446,TAMBRAUW,34
447,SORONG,34
448,SORONG SELATAN,34
449,MAYBRAT,34
450,RAJA AMPAT,34
451,FAKFAK,34
452,KAIMANA,34
453,PANIAI,33
454,DEIYAI (DELIYAI),33
455,INTAN JAYA,33
456,NABIRE,33
457,DOGIYAI,33
458,PUNCAK JAYA,33
459,PUNCAK,33
460,JAYAPURA,33
461,SARMI,33
462,KEEROM,33
463,JAYAWIJAYA,33
464,MAMBERAMO TENGAH,33
465,LANNY JAYA,33
466,TOLIKARA,33
467,NDUGA,33
468,YAHUKIMO,33
469,PEGUNUNGAN BINTANG,33
470,YALIMO,33
471,MERAUKE,33
472,BOVEN DIGOEL,33
473,ASMAT,33
474,MAPPI,33
475,MIMIKA,33